order_id,customer_id,order_amount,order_timestamp
92710-5,92710,96.98,2020-09-01 17:58:25
92710-6,92710,31.41,2022-10-07 20:31:00
92710-7,92710,129.43,2021-03-30 19:07:25
92710-8,92710,130.79,2022-08-15 09:23:00
92710-9,92710,104.91,2022-01-29 17:59:46
92710-10,92710,122.5,2021-01-10 21:10:51
54452-1,54452,152.37,2022-04-21 17:18:24
54452-2,54452,71.76,2022-11-27 16:30:13
54452-3,54452,73.54,2021-01-13 20:21:50
54452-4,54452,91.14,2020-12-02 10:30:51
54452-5,54452,141.86,2023-01-15 18:10:34
54452-6,54452,54.83,2023-04-11 17:58:47
54452-7,54452,165.91,2020-12-24 16:27:32
54452-8,54452,101.12,2020-02-28 18:25:08
54452-9,54452,109.25,2020-10-16 17:55:22
54452-10,54452,76.77,2021-10-12 19:55:39
94059-1,94059,146.95,2023-01-16 16:03:53
94059-2,94059,120.42,2023-05-13 07:27:58
94059-3,94059,162.23,2021-07-21 19:21:54
94059-4,94059,68.76,2021-05-28 16:21:32
94059-5,94059,138.66,2021-09-21 15:17:13
94059-6,94059,85.25,2023-08-19 20:15:41
94059-7,94059,169.55,2020-10-22 19:26:32
94059-8,94059,72.94,2020-05-29 17:49:31
94059-9,94059,137.54,2021-04-04 01:34:11
94059-10,94059,159.05,2023-05-17 17:29:20
59402-1,59402,139.7,2020-07-28 19:09:03
59402-2,59402,65.98,2023-02-22 06:23:34
59402-3,59402,108.77,2023-12-20 17:57:26
59402-4,59402,167.6,2021-02-25 19:51:39
59402-5,59402,102.02,2020-04-21 18:01:28
59402-6,59402,139.19,2021-09-29 20:39:59
59402-7,59402,167.12,2021-12-13 16:41:59
59402-8,59402,61.12,2020-02-09 17:18:32
59402-9,59402,126.38,2021-06-11 20:16:21
59402-10,59402,57.48,2023-11-19 20:40:49
75582-1,75582,36.71,2020-09-29 19:28:30
75582-2,75582,63.09,2020-04-11 19:41:41
75582-3,75582,64.17,2020-12-21 06:48:26
75582-4,75582,36.1,2020-05-02 16:03:12
75582-5,75582,124.78,2022-03-19 19:06:03
75582-6,75582,54.77,2022-02-23 16:43:38
75582-7,75582,177.67,2022-04-16 20:51:07
75582-8,75582,97.41,2021-03-12 02:15:32
75582-9,75582,51.44,2020-02-02 20:18:52
75582-10,75582,118.53,2022-01-19 20:23:33
97449-1,97449,37.14,2022-09-18 17:43:37
97449-2,97449,95.27,2023-04-09 20:36:47
97449-3,97449,128.72,2020-12-19 19:04:29
97449-4,97449,61.4,2020-11-13 17:49:42
97449-5,97449,156.81,2021-03-05 20:38:34
97449-6,97449,56.98,2022-01-12 19:59:41
97449-7,97449,89.94,2022-11-07 16:38:49
97449-8,97449,126.44,2021-10-16 20:36:23
97449-9,97449,157.14,2020-04-22 19:40:54
97449-10,97449,139.8,2022-01-12 17:40:33
16927-1,16927,73.3,2023-02-13 20:45:33
16927-2,16927,45.52,2021-10-24 09:41:01
16927-3,16927,81.41,2023-02-19 07:47:52
16927-4,16927,22.86,2022-12-06 09:50:20
16927-5,16927,61.82,2022-01-08 12:59:26
16927-6,16927,116.08,2022-05-26 23:56:07
16927-7,16927,40.29,2022-11-24 19:39:47
16927-8,16927,105.94,2023-01-10 08:46:00
16927-9,16927,97.18,2022-03-18 19:18:34
16927-10,16927,44.71,2023-12-11 20:33:30
43731-1,43731,161.04,2020-05-20 18:51:03
43731-2,43731,160.36,2022-02-10 19:31:47
43731-3,43731,110.84,2020-07-29 08:48:50
43731-4,43731,138.34,2022-12-18 17:37:18
43731-5,43731,103.94,2020-09-28 07:00:03
43731-6,43731,201.15,2022-01-19 18:03:19
43731-7,43731,103.42,2021-09-27 17:01:32
43731-8,43731,71.2,2022-01-27 17:33:36
43731-9,43731,155.09,2020-04-02 16:41:46
43731-10,43731,97.15,2020-09-04 05:32:18
70437-1,70437,185.45,2021-06-29 23:59:53
70437-2,70437,172.21,2022-05-30 15:02:54
70437-3,70437,156.85,2023-05-16 06:12:00
70437-4,70437,185.73,2020-09-14 17:35:45
70437-5,70437,121.2,2021-10-19 19:54:10
70437-6,70437,85.69,2023-01-02 16:30:07
70437-7,70437,178.94,2020-07-18 14:42:08
70437-8,70437,73.54,2022-10-21 00:49:12
70437-9,70437,78.08,2023-05-23 18:20:56
70437-10,70437,94.52,2021-07-22 18:05:12
61257-1,61257,58.28,2021-08-05 17:32:42
61257-2,61257,57.36,2020-12-12 18:03:34
61257-3,61257,122.68,2022-05-07 16:41:58
61257-4,61257,28.81,2021-12-24 07:28:39
61257-5,61257,62.99,2020-12-06 18:16:00
61257-6,61257,36.85,2021-01-13 17:03:28
61257-7,61257,32.08,2022-02-25 18:49:54
61257-8,61257,71.72,2022-08-12 20:27:07
61257-9,61257,84.28,2022-11-05 09:37:38
61257-10,61257,79.69,2020-09-03 17:16:52
52938-1,52938,85.36,2020-02-13 23:18:36
52938-2,52938,54.21,2022-05-03 16:22:05
52938-3,52938,115.95,2023-01-28 18:35:12
52938-4,52938,125.69,2020-09-28 18:55:01
52938-5,52938,40.49,2020-12-29 20:25:06
52938-6,52938,117.47,2020-08-23 17:11:46
52938-7,52938,54.84,2021-10-20 07:19:21
52938-8,52938,78.01,2023-04-01 12:43:04
52938-9,52938,35.52,2021-07-06 05:22:57
52938-10,52938,88.23,2020-09-15 18:21:56
39388-1,39388,99.92,2020-04-01 20:56:58
39388-2,39388,64.3,2022-08-06 19:09:40
39388-3,39388,155.48,2023-04-03 19:01:58
39388-4,39388,80.38,2021-07-27 17:53:08
39388-5,39388,131.85,2020-03-28 19:32:43
39388-6,39388,149.09,2020-04-09 23:02:05
39388-7,39388,58.3,2021-01-22 18:42:14
39388-8,39388,78.52,2020-04-13 18:07:33
39388-9,39388,117.51,2021-04-27 20:44:08
39388-10,39388,133.0,2021-08-17 18:38:57
17191-1,17191,140.18,2021-11-01 19:26:30
17191-2,17191,100.24,2020-03-12 19:34:27
17191-3,17191,109.13,2022-05-24 18:01:13
17191-4,17191,57.19,2021-07-08 13:23:46
17191-5,17191,84.79,2023-10-22 18:57:59
17191-6,17191,25.65,2022-05-04 14:08:32
17191-7,17191,61.68,2021-06-28 10:23:17
17191-8,17191,74.77,2022-08-28 14:58:51
17191-9,17191,111.51,2022-01-07 18:09:24
17191-10,17191,43.59,2022-12-20 07:48:29
57215-1,57215,70.39,2023-09-05 19:55:12
57215-2,57215,121.15,2022-11-08 18:11:38
57215-3,57215,75.79,2023-11-27 17:10:18
57215-4,57215,97.06,2020-09-26 23:10:53
57215-5,57215,138.35,2022-06-16 11:19:56
57215-6,57215,76.56,2021-07-08 17:03:41
57215-7,57215,80.3,2023-05-20 04:54:06
57215-8,57215,77.32,2023-02-22 18:41:15
57215-9,57215,96.3,2021-07-23 17:25:03
57215-10,57215,49.3,2023-05-01 18:33:55
25474-1,25474,128.97,2021-02-05 20:38:49
25474-2,25474,117.0,2023-06-27 18:48:05
25474-3,25474,38.48,2020-08-09 17:18:25
25474-4,25474,134.35,2023-04-23 01:27:10
25474-5,25474,125.8,2021-11-13 19:53:21
25474-6,25474,61.82,2023-07-15 17:29:35
25474-7,25474,117.99,2021-02-28 18:31:33
25474-8,25474,70.25,2020-05-02 19:19:35
25474-9,25474,82.76,2022-11-23 05:37:46
25474-10,25474,120.5,2022-11-28 17:17:04
73577-1,73577,80.7,2020-02-10 19:09:08
73577-2,73577,48.3,2021-02-11 17:58:50
73577-3,73577,35.11,2020-08-19 18:14:04
73577-4,73577,121.4,2020-03-25 10:27:14
73577-5,73577,139.12,2022-03-15 17:47:27
73577-6,73577,125.49,2022-05-06 22:32:15
73577-7,73577,138.31,2021-03-08 15:55:10
73577-8,73577,62.2,2022-11-15 19:22:16
73577-9,73577,68.33,2022-01-29 00:09:05
73577-10,73577,118.58,2022-04-27 19:20:09
93825-1,93825,44.51,2022-10-18 18:45:15
93825-2,93825,124.7,2021-09-10 15:15:31
93825-3,93825,61.29,2021-12-03 16:21:33
93825-4,93825,103.73,2022-10-25 19:05:39
93825-5,93825,194.09,2022-03-04 19:54:51
93825-6,93825,169.44,2023-01-03 22:24:14
93825-7,93825,133.99,2022-09-16 22:30:15
93825-8,93825,76.09,2021-07-04 16:49:47
93825-9,93825,140.57,2020-12-12 01:02:05
93825-10,93825,108.75,2023-11-25 19:01:21
23586-1,23586,60.23,2023-08-16 18:25:46
23586-2,23586,90.62,2020-07-28 02:49:42
23586-3,23586,151.42,2023-11-24 17:07:33
23586-4,23586,51.77,2020-01-05 16:25:17
23586-5,23586,34.1,2021-06-02 18:58:58
23586-6,23586,53.05,2023-07-07 20:51:15
23586-7,23586,50.85,2021-01-06 10:22:43
23586-8,23586,48.4,2022-01-09 21:38:06
23586-9,23586,46.33,2020-01-30 19:14:55
23586-10,23586,117.89,2023-01-25 17:08:32
39825-1,39825,114.85,2023-04-25 19:33:10
39825-2,39825,32.54,2022-10-26 05:56:10
39825-3,39825,55.36,2020-03-30 18:20:19
39825-4,39825,103.4,2023-10-31 18:30:26
39825-5,39825,101.74,2020-10-25 17:18:03
39825-6,39825,76.68,2022-09-27 19:26:24
39825-7,39825,85.05,2023-05-14 17:13:58
39825-8,39825,94.74,2022-04-17 16:51:07
39825-9,39825,90.31,2021-06-16 20:28:59
39825-10,39825,92.85,2021-11-18 20:07:57
78590-1,78590,105.96,2022-10-27 18:47:27
78590-2,78590,110.49,2022-03-21 19:37:53
78590-3,78590,74.17,2022-05-28 22:22:16
78590-4,78590,125.35,2023-05-16 09:11:13
78590-5,78590,83.36,2020-08-02 18:14:56
78590-6,78590,92.03,2023-06-07 16:14:49
78590-7,78590,122.62,2021-08-22 19:48:47
78590-8,78590,175.8,2023-04-13 17:31:44
78590-9,78590,42.03,2020-02-28 19:58:24
78590-10,78590,75.75,2020-02-26 20:33:24
66090-1,66090,49.71,2021-01-30 16:35:51
66090-2,66090,57.28,2022-01-03 20:53:04
66090-3,66090,130.0,2020-09-27 19:28:03
66090-4,66090,118.4,2022-01-16 19:45:56
66090-5,66090,161.19,2023-07-08 17:33:46
66090-6,66090,150.49,2020-09-06 18:22:25
66090-7,66090,162.34,2023-06-19 04:11:06
66090-8,66090,142.3,2020-09-13 17:39:40
66090-9,66090,102.53,2020-05-30 11:48:29
66090-10,66090,99.62,2022-12-19 18:02:12
19308-1,19308,43.88,2020-06-24 19:07:23
19308-2,19308,94.38,2020-12-24 16:22:34
19308-3,19308,142.22,2022-12-01 18:21:14
19308-4,19308,48.24,2022-05-10 16:53:19
19308-5,19308,101.87,2020-11-07 16:45:46
19308-6,19308,146.73,2023-08-18 11:38:24
19308-7,19308,76.94,2022-12-17 19:16:06
19308-8,19308,72.34,2021-05-05 20:15:59
19308-9,19308,115.54,2023-12-22 20:53:11
19308-10,19308,67.06,2022-12-18 20:57:39
34298-1,34298,124.15,2022-03-02 19:40:20
34298-2,34298,140.83,2023-01-01 01:34:11
34298-3,34298,69.47,2022-10-04 19:45:32
34298-4,34298,75.12,2021-05-19 17:00:57
34298-5,34298,158.11,2023-02-12 18:11:36
34298-6,34298,168.83,2022-06-11 16:57:32
34298-7,34298,40.42,2021-05-20 16:39:28
34298-8,34298,130.53,2021-06-23 08:28:57
34298-9,34298,50.96,2022-08-27 18:37:33
34298-10,34298,42.96,2021-04-29 20:58:32
97952-1,97952,57.35,2020-12-06 20:40:26
97952-2,97952,111.04,2022-07-17 15:38:16
97952-3,97952,118.04,2023-10-03 23:41:43
97952-4,97952,95.45,2020-08-06 19:47:18
97952-5,97952,120.72,2021-09-28 03:09:25
97952-6,97952,111.3,2020-08-02 16:31:52
97952-7,97952,55.95,2020-06-23 17:48:58
97952-8,97952,39.59,2020-09-16 20:49:57
97952-9,97952,81.02,2021-09-14 20:48:10
97952-10,97952,66.51,2023-11-04 17:21:14
7199-1,7199,65.27,2022-09-08 22:18:15
7199-2,7199,41.02,2020-09-28 16:43:42
7199-3,7199,63.06,2020-01-27 19:04:29
7199-4,7199,162.09,2021-02-10 03:34:55
7199-5,7199,60.44,2021-09-23 16:13:37
7199-6,7199,76.78,2022-12-01 10:08:26
7199-7,7199,111.64,2022-09-14 20:21:53
7199-8,7199,88.71,2022-10-27 20:46:32
7199-9,7199,143.28,2020-09-27 18:25:32
7199-10,7199,101.73,2020-08-26 18:31:42
82366-1,82366,85.38,2020-09-19 16:13:47
82366-2,82366,67.01,2022-02-13 16:02:35
82366-3,82366,144.53,2020-12-28 19:16:18
82366-4,82366,34.61,2023-11-19 20:37:40
82366-5,82366,59.55,2020-05-18 18:11:28
82366-6,82366,105.13,2022-12-10 14:29:39
82366-7,82366,53.65,2023-10-29 02:25:27
82366-8,82366,142.95,2020-09-15 20:42:20
82366-9,82366,85.01,2022-02-04 17:44:48
82366-10,82366,33.91,2020-01-24 19:01:59
37775-1,37775,26.38,2023-06-04 20:32:00
37775-2,37775,112.04,2021-11-09 17:33:07
37775-3,37775,59.67,2020-01-10 17:54:22
37775-4,37775,57.41,2021-02-24 17:33:31
37775-5,37775,95.13,2023-01-12 19:55:02
37775-6,37775,112.59,2021-12-04 17:19:35
37775-7,37775,97.25,2022-11-11 20:40:05
37775-8,37775,59.25,2023-06-11 20:36:13
37775-9,37775,69.81,2022-09-24 19:10:11
37775-10,37775,104.22,2023-11-03 22:52:54
76798-1,76798,61.09,2021-03-17 19:10:19
76798-2,76798,95.93,2021-02-23 17:06:46
76798-3,76798,87.42,2023-08-21 20:47:46
76798-4,76798,75.24,2022-12-17 18:43:35
76798-5,76798,101.43,2020-07-27 17:30:09
76798-6,76798,151.36,2020-09-08 18:05:30
76798-7,76798,104.96,2023-07-06 08:45:34
76798-8,76798,158.02,2023-07-03 20:31:28
76798-9,76798,111.94,2021-09-25 21:19:59
76798-10,76798,63.54,2020-05-14 17:28:17
88785-1,88785,173.06,2020-04-23 19:54:32
88785-2,88785,198.99,2021-08-07 18:50:23
88785-3,88785,197.47,2022-11-14 23:00:48
88785-4,88785,93.97,2023-08-24 18:25:47
88785-5,88785,171.47,2021-07-23 18:44:53
88785-6,88785,50.0,2020-04-30 14:11:51
88785-7,88785,130.24,2020-05-04 06:10:49
88785-8,88785,86.18,2021-08-10 20:58:51
88785-9,88785,188.76,2023-10-03 13:48:32
88785-10,88785,157.85,2023-06-26 04:53:43
35738-1,35738,53.41,2021-01-07 14:28:41
35738-2,35738,71.49,2023-02-27 18:26:52
35738-3,35738,70.57,2021-03-23 08:41:19
35738-4,35738,51.75,2023-09-03 18:12:12
35738-5,35738,150.34,2021-09-15 17:46:45
35738-6,35738,156.21,2022-10-07 20:02:56
35738-7,35738,133.69,2022-04-11 02:48:49
35738-8,35738,95.77,2022-04-03 20:12:23
35738-9,35738,47.77,2020-08-04 18:06:40
35738-10,35738,134.56,2022-05-11 18:17:36
70793-1,70793,40.14,2023-07-28 20:14:00
70793-2,70793,49.66,2022-10-09 07:58:31
70793-3,70793,136.1,2021-06-14 20:42:27
70793-4,70793,81.93,2020-01-06 17:29:36
70793-5,70793,80.87,2022-12-21 19:01:14
70793-6,70793,71.62,2023-01-14 17:48:45
70793-7,70793,59.02,2020-06-28 18:34:14
70793-8,70793,76.61,2021-05-19 11:42:28
70793-9,70793,51.0,2022-06-19 16:12:52
70793-10,70793,93.1,2022-05-10 19:37:10
95611-1,95611,58.12,2021-05-13 11:06:09
95611-2,95611,39.05,2023-08-16 18:45:46
95611-3,95611,32.39,2023-08-13 05:37:41
95611-4,95611,114.81,2023-11-30 20:44:09
95611-5,95611,78.08,2021-09-01 16:11:19
95611-6,95611,122.57,2020-04-30 11:31:29
95611-7,95611,117.23,2020-03-19 20:14:58
95611-8,95611,107.29,2022-08-07 02:09:44
95611-9,95611,111.57,2023-12-14 17:24:36
95611-10,95611,106.11,2021-03-19 18:22:59
37945-1,37945,99.26,2020-07-14 02:01:12
37945-2,37945,86.9,2023-10-28 17:16:59
37945-3,37945,55.68,2021-12-08 20:46:18
37945-4,37945,127.29,2020-08-01 19:03:48
37945-5,37945,81.05,2021-06-24 19:34:57
37945-6,37945,110.65,2023-10-12 20:35:47
37945-7,37945,26.14,2020-10-12 19:09:38
37945-8,37945,31.36,2022-08-14 17:56:13
37945-9,37945,138.93,2021-09-23 14:22:04
37945-10,37945,24.82,2022-09-02 16:37:48
36323-1,36323,47.44,2022-06-14 17:07:25
36323-2,36323,83.32,2020-02-14 19:04:02
36323-3,36323,103.33,2022-05-06 16:15:03
36323-4,36323,106.29,2023-01-10 17:23:49
36323-5,36323,118.03,2020-08-05 19:37:14
36323-6,36323,98.55,2020-06-07 17:13:03
36323-7,36323,100.49,2022-07-19 17:35:39
36323-8,36323,102.58,2020-09-06 18:48:50
36323-9,36323,105.56,2023-08-18 18:37:48
36323-10,36323,117.45,2022-01-27 20:20:03
20642-1,20642,99.93,2020-10-12 03:18:14
20642-2,20642,160.26,2021-06-15 16:48:41
20642-3,20642,93.97,2022-09-17 17:58:11
20642-4,20642,135.81,2022-03-05 17:00:54
20642-5,20642,56.63,2022-10-11 20:54:36
20642-6,20642,87.15,2022-09-03 20:09:40
20642-7,20642,91.78,2022-10-14 22:00:28
20642-8,20642,150.85,2020-01-02 16:32:40
20642-9,20642,147.77,2021-02-24 17:16:45
20642-10,20642,40.59,2022-04-21 07:09:08
29486-1,29486,122.92,2020-05-06 10:14:24
29486-2,29486,119.79,2023-06-13 19:07:04
29486-3,29486,100.42,2023-03-17 20:50:31
29486-4,29486,102.72,2023-03-17 16:28:15
29486-5,29486,46.77,2020-04-06 18:40:52
29486-6,29486,177.77,2021-03-18 20:40:35
29486-7,29486,182.14,2023-11-29 23:30:02
29486-8,29486,81.13,2021-12-27 02:31:51
29486-9,29486,130.5,2023-06-16 19:29:04
29486-10,29486,69.42,2022-11-04 20:27:40
64000-1,64000,77.53,2023-10-12 19:29:56
64000-2,64000,84.51,2022-04-27 17:00:29
64000-3,64000,174.67,2022-04-08 16:59:56
64000-4,64000,143.91,2023-04-20 09:16:45
64000-5,64000,141.75,2022-02-08 19:36:37
64000-6,64000,65.88,2023-11-21 19:12:21
64000-7,64000,72.52,2022-11-10 17:43:54
64000-8,64000,61.55,2023-10-25 16:05:48
64000-9,64000,145.84,2021-02-27 17:29:31
64000-10,64000,59.94,2023-10-19 16:39:00
91236-1,91236,175.34,2023-08-27 20:30:20
91236-2,91236,177.56,2020-08-06 17:53:25
91236-3,91236,56.27,2020-02-08 18:53:27
91236-4,91236,117.61,2023-10-16 01:37:44
91236-5,91236,167.81,2020-07-15 18:48:32
91236-6,91236,41.39,2020-05-09 17:30:19
91236-7,91236,118.8,2020-10-05 11:29:01
91236-8,91236,137.61,2021-03-15 07:23:59
91236-9,91236,88.69,2022-10-07 17:49:33
91236-10,91236,138.76,2021-02-13 15:13:43
18240-1,18240,102.16,2023-02-28 17:54:58
18240-2,18240,149.34,2023-10-27 17:36:56
18240-3,18240,39.9,2020-04-29 04:00:37
18240-4,18240,107.93,2021-09-21 18:45:37
18240-5,18240,69.82,2022-04-08 15:24:38
18240-6,18240,128.73,2021-10-18 22:48:22
18240-7,18240,135.91,2022-12-26 07:38:10
18240-8,18240,81.44,2023-04-05 16:32:41
18240-9,18240,117.92,2020-05-10 20:47:25
18240-10,18240,55.3,2021-05-26 18:20:23
25602-1,25602,110.71,2022-04-10 15:24:15
25602-2,25602,86.83,2022-01-29 10:26:22
25602-3,25602,141.24,2022-11-30 18:00:31
25602-4,25602,58.98,2020-01-21 20:13:08
25602-5,25602,117.2,2020-02-11 18:54:31
25602-6,25602,48.73,2023-01-29 20:07:28
25602-7,25602,123.26,2020-09-20 19:22:57
25602-8,25602,80.64,2021-05-05 15:05:21
25602-9,25602,131.91,2022-06-25 00:25:53
25602-10,25602,76.2,2022-11-11 18:29:19
39499-1,39499,144.51,2022-06-28 17:23:49
39499-2,39499,142.11,2021-05-04 16:20:00
39499-3,39499,72.44,2020-05-08 16:54:27
39499-4,39499,113.49,2023-07-14 23:17:49
39499-5,39499,71.09,2022-12-24 22:12:45
39499-6,39499,69.87,2020-09-03 04:45:43
39499-7,39499,101.73,2021-01-07 18:56:36
39499-8,39499,65.55,2021-04-28 11:44:12
39499-9,39499,100.27,2020-06-18 20:15:50
39499-10,39499,112.29,2021-06-16 20:54:16
85775-1,85775,119.39,2020-01-03 16:28:46
85775-2,85775,167.42,2023-08-03 04:56:55
85775-3,85775,91.51,2020-07-22 16:10:36
85775-4,85775,182.76,2022-08-14 18:26:24
85775-5,85775,99.9,2021-04-26 17:32:41
85775-6,85775,132.52,2023-12-06 17:15:03
85775-7,85775,95.95,2020-03-29 18:40:58
85775-8,85775,161.73,2022-01-11 20:58:32
85775-9,85775,167.29,2023-12-09 18:24:11
85775-10,85775,60.48,2022-12-08 13:01:11
97003-1,97003,133.33,2021-03-08 19:47:37
97003-2,97003,116.32,2020-09-29 16:50:52
97003-3,97003,105.82,2021-02-14 16:57:40
97003-4,97003,57.03,2021-09-18 15:36:44
97003-5,97003,35.96,2022-06-25 17:23:10
97003-6,97003,92.45,2021-01-07 17:51:53
97003-7,97003,67.99,2020-07-22 19:05:41
97003-8,97003,105.05,2020-04-05 10:42:57
97003-9,97003,47.67,2022-07-19 01:28:18
97003-10,97003,41.84,2023-09-05 07:59:09
58444-1,58444,150.69,2022-02-26 16:51:08
58444-2,58444,60.3,2023-12-16 12:53:31
58444-3,58444,122.89,2020-03-26 20:26:43
58444-4,58444,181.7,2022-08-21 17:14:02
58444-5,58444,168.82,2022-09-22 18:43:59
58444-6,58444,64.59,2021-08-23 04:02:08
58444-7,58444,61.16,2020-08-19 17:28:21
58444-8,58444,85.76,2020-07-03 07:56:38
58444-9,58444,132.65,2022-10-12 20:26:12
58444-10,58444,109.01,2022-03-10 19:06:33
64377-1,64377,57.83,2021-11-22 19:06:09
64377-2,64377,136.38,2022-03-08 17:20:46
64377-3,64377,24.03,2023-01-12 20:12:06
64377-4,64377,28.78,2023-04-17 16:37:35
64377-5,64377,34.92,2022-05-04 20:58:57
64377-6,64377,38.69,2020-09-17 19:56:38
64377-7,64377,82.97,2021-09-29 18:23:55
64377-8,64377,125.06,2023-12-11 04:45:44
64377-9,64377,101.29,2020-07-30 19:56:37
64377-10,64377,69.77,2023-09-01 11:03:56
90394-1,90394,162.31,2022-04-15 18:00:12
90394-2,90394,104.97,2023-06-21 18:20:52
90394-3,90394,68.07,2021-02-27 06:08:20
90394-4,90394,159.51,2020-06-13 19:00:20
90394-5,90394,142.37,2021-08-03 17:29:14
90394-6,90394,92.37,2022-05-12 02:42:52
90394-7,90394,140.6,2022-11-01 18:11:09
90394-8,90394,110.33,2023-01-11 19:04:30
90394-9,90394,149.28,2023-11-21 20:26:24
90394-10,90394,54.21,2020-03-09 18:53:23
2024-1,2024,102.23,2023-12-09 14:06:32
2024-2,2024,25.59,2022-10-03 20:35:29
2024-3,2024,96.92,2021-06-14 07:41:03
2024-4,2024,76.11,2020-02-16 16:56:41
2024-5,2024,135.58,2020-06-18 01:52:46
2024-6,2024,122.15,2023-05-09 19:39:14
2024-7,2024,113.7,2023-01-03 04:04:20
2024-8,2024,54.11,2020-09-22 18:06:11
2024-9,2024,83.23,2023-01-11 17:40:35
2024-10,2024,112.82,2021-07-16 19:41:45
8381-1,8381,49.97,2023-11-24 15:53:39
8381-2,8381,53.21,2023-06-28 18:30:32
8381-3,8381,113.26,2020-10-31 19:47:41
8381-4,8381,68.25,2020-08-13 18:41:13
8381-5,8381,142.95,2020-11-15 19:54:09
8381-6,8381,73.05,2021-06-09 20:35:54
8381-7,8381,48.96,2020-04-01 16:09:45
8381-8,8381,120.05,2021-05-02 20:14:38
8381-9,8381,30.97,2020-02-04 18:33:40
8381-10,8381,55.8,2021-02-24 16:37:16
49174-1,49174,179.12,2022-01-25 23:06:24
49174-2,49174,201.4,2023-01-22 20:15:58
49174-3,49174,108.01,2020-06-12 20:37:38
49174-4,49174,195.5,2023-04-18 02:46:13
49174-5,49174,143.51,2020-09-08 18:32:28
49174-6,49174,78.59,2021-04-13 20:13:32
49174-7,49174,132.74,2020-04-07 15:03:38
49174-8,49174,72.07,2022-02-07 05:16:22
49174-9,49174,162.58,2020-05-31 20:12:11
49174-10,49174,79.0,2022-03-26 20:41:15
8931-1,8931,88.15,2020-09-09 18:14:42
8931-2,8931,62.53,2022-04-06 18:57:22
8931-3,8931,121.66,2022-10-14 20:42:05
8931-4,8931,67.67,2022-02-12 02:29:35
8931-5,8931,53.56,2022-09-10 19:15:38
8931-6,8931,71.59,2022-04-24 19:36:58
8931-7,8931,31.43,2020-04-13 20:17:09
8931-8,8931,95.91,2020-10-25 18:49:36
8931-9,8931,50.12,2023-11-27 18:01:25
8931-10,8931,134.23,2023-11-22 20:41:05
66245-1,66245,190.65,2022-05-08 19:42:51
66245-2,66245,114.11,2021-11-29 18:37:23
66245-3,66245,183.49,2020-05-03 19:46:36
66245-4,66245,55.95,2022-07-24 16:58:26
66245-5,66245,152.5,2021-03-08 17:04:10
66245-6,66245,96.36,2021-11-26 19:39:29
66245-7,66245,69.76,2023-04-27 18:56:50
66245-8,66245,66.8,2021-04-10 19:21:00
